コード,銘柄名,主市場,貸借区分,1日,14日,無期限,売建可能数量,特別空売り料,T,現在値,前日比,当日株価変動率,日中出来高増減率,ティック数,出来高,直近高値騰落率,逆日歩,直近優待月
2212,山崎製パン,東証,貸借,○,×,○,"22,700",-,▼,"1,479.00",-24,-1.26%,-,982,"789,800",-3.33%,-,12月27日
7157,ライフネット生命保険,東証,貸借,○,×,×,"3,700",-,▲,"1,341.00",-39,-1.54%,-,979,"270,800",-4.41%,-,
8418,山口フィナンシャルＧ,東証,貸借,○,×,×,0,-,▲,877,0,0.80%,-,978,"599,400",-3.94%,-,3月29日
2749,ＪＰホールディングス,東証,貸借,○,×,○,"24,000",-,▼,335,-5,-3.17%,-,973,"1,174,200",-5.36%,-,
9684,スクウェア・エニックス・ＨＤ,東証,貸借,○,×,○,"6,800",-,▼,"6,060.00",0,-0.32%,-,967,"575,200",-2.25%,-,
8334,群馬銀行,東証,貸借,○,×,×,0,-,▲,486,-2,0.82%,-,964,"1,052,900",-5.99%,-,3月29日
6370,栗田工業,東証,貸借,○,×,×,0,-,▼,"6,000.00",150,-2.43%,-,958,"428,200",-2.43%,-,3月29日
6999,ＫＯＡ,東証,貸借,○,×,○,"13,800",-,▼,"1,844.00",27,0.93%,-,950,"357,300",-2.94%,-,
5332,ＴＯＴＯ,東証,貸借,○,×,×,"3,800",-,▼,"4,625.00",-5,-0.10%,-,948,"486,300",-4.54%,-,3月29日
8253,クレディセゾン,東証,貸借,○,×,○,"11,400",-,▼,"1,690.00",19,0.89%,-,946,"547,700",-1.05%,-,
1803,清水建設,東証,貸借,○,×,×,"5,300",-,▼,699,-8,0.43%,-,942,"1,572,600",-6.67%,-,3月29日
6113,アマダ,東証,貸借,○,×,○,"4,700",-,▼,"1,135.00",-8,-0.35%,-,942,"1,041,600",-2.40%,-,
3697,ＳＨＩＦＴ,東証,貸借,○,×,○,"2,400",-,▼,"24,650.00",670,1.64%,-,941,"161,200",-0.32%,0.4,
5384,フジミインコーポレーテッド,東証,貸借,○,×,○,"1,600",-,▲,"6,340.00",-430,-1.09%,-,940,"267,900",-7.30%,-,
8954,オリックス不動産投資,東証,貸借,○,×,×,53,-,▲,"179,500.00","1,300.00",0.72%,-,937,"3,374",-1.85%,-,
8876,リログループ,東証,貸借,○,×,×,100,-,▲,"2,141.00",-24,-0.46%,-,934,"267,000",-3.94%,-,3月29日
8984,大和ハウスリート,東証,貸借,○,×,×,33,-,▼,"283,000.00","2,200.00",0.53%,-,931,"3,090",-1.29%,-,2月24日
4043,トクヤマ,東証,貸借,○,×,○,"7,700",-,▼,"1,908.00",-26,-1.44%,-,930,"449,900",-3.39%,-,
4768,大塚商会,東証,貸借,○,×,○,"2,000",-,▼,"4,595.00",-40,-0.86%,-,930,"703,300",-4.27%,0.1,
4917,マンダム,東証,貸借,○,×,×,"2,900",-,▲,"1,387.00",-51,-2.52%,-,928,"291,400",-6.28%,-,3月29日
6412,平和,東証,貸借,○,×,×,"2,800",-,▲,"2,258.00",-26,-0.70%,-,928,"277,800",-4.60%,-,3月29日
7780,メニコン,東証,貸借,○,×,×,"1,100",-,▼,"2,882.00",33,-0.31%,-,923,"240,000",-1.26%,-,3月29日
6504,富士電機,東証,貸借,○,×,○,"30,100",-,▲,"5,180.00",-50,-1.14%,-,914,"622,900",-1.89%,-,6月28日
7199,プレミアグループ,東証,貸借,○,×,○,"20,600",-,▼,"1,582.00",0,0.25%,-,911,"210,800",-1.37%,-,
