コード,銘柄名,主市場,貸借区分,1日,14日,無期限,売建可能数量,特別空売り料,T,現在値,前日比,当日株価変動率,日中出来高増減率,ティック数,出来高,直近高値騰落率,逆日歩,直近優待月
9506,東北電力,東証,貸借,○,×,○,"119,200",-,▼,661,-10,-0.60%,-,"1,313","1,912,300",-1.92%,-,
3635,コーエーテクモＨＤ,東証,貸借,○,×,×,"1,500",-,▲,"2,360.00",-3,0.04%,-,"1,312","587,800",-2.39%,-,3月29日
9508,九州電力,東証,貸借,○,×,○,"72,500",-,▼,728,0,0.69%,-,"1,312","2,320,000",-0.41%,-,
2678,アスクル,東証,貸借,○,×,○,"7,500",-,▼,"1,750.00",49,1.98%,-,"1,298","419,500",-0.05%,-,5月17日
6701,日本電気,東証,貸借,○,×,○,"12,600",-,▲,"4,810.00",-15,-0.92%,-,"1,292","869,000",-1.23%,-,
8601,大和証券Ｇ本社,東証,貸借,○,×,×,"42,700",-,▲,610,5,1.32%,-,"1,292","4,089,600",-0.97%,-,3月29日
9603,エイチ・アイ・エス,東証,貸借,○,×,×,"8,700",-,▲,"2,079.00",1,0.38%,-,"1,286","468,700",-3.12%,-,4月26日
9928,ミロク情報サービス,東証,貸借,○,×,○,"6,600",-,▼,"1,755.00",101,5.40%,-,"1,283","290,200",-0.73%,-,
8830,住友不動産,東証,貸借,○,×,○,"6,000",-,▼,"3,072.00",-9,0.32%,-,"1,280","586,800",-3.60%,-,
6890,フェローテックＨＬＤＧＳ,東証,貸借,○,×,○,"10,000",-,▼,"3,235.00",-45,-1.67%,-,"1,277","802,600",-3.72%,-,
2491,バリューコマース,東証,貸借,○,×,○,"16,100",-,▲,"1,870.00",38,1.52%,-,"1,276","302,700",-3.05%,-,
4182,三菱瓦斯化学,東証,貸借,○,×,○,"13,600",-,▼,"1,864.00",3,0.32%,-,"1,276","945,300",-1.84%,-,
3659,ネクソン,東証,貸借,○,×,○,"11,600",-,▲,"3,105.00",-80,-2.20%,-,"1,271","1,241,300",-2.96%,0.05,
2809,キユーピー,東証,貸借,○,×,○,"37,100",-,▼,"2,194.00",-24,-0.45%,-,"1,263","690,800",-3.30%,0.05,5月29日
2471,エスプール,東証,貸借,○,×,×,0,-,▼,754,2,0.80%,-,"1,262","710,700",-3.33%,-,
3003,ヒューリック,東証,貸借,○,×,○,"67,500",-,▼,"1,061.00",1,0.18%,-,"1,253","1,626,800",-1.85%,-,6月28日
4680,ラウンドワン,東証,貸借,○,×,×,"21,500",-,▲,478,-2,-0.82%,-,"1,252","2,091,000",-1.44%,-,3月29日
4776,サイボウズ,東証,貸借,○,×,○,"8,700",-,▲,"2,680.00",33,0.03%,-,"1,250","324,200",-2.54%,0.05,
9843,ニトリホールディングス,東証,貸借,○,×,×,0,-,▲,"17,125.00",-120,-0.14%,-,"1,249","386,200",-2.25%,0.3,3月29日
2282,日本ハム,東証,貸借,○,×,×,"1,800",-,▲,"3,655.00",-95,-1.34%,-,"1,232","930,200",-7.70%,-,3月29日
4324,電通グループ,東証,貸借,○,×,○,"11,000",-,▼,"4,085.00",40,0.12%,-,"1,231","791,100",-3.54%,-,
9719,ＳＣＳＫ,東証,貸借,○,×,○,"16,400",-,▲,"1,971.00",-8,-0.45%,-,"1,225","764,100",-2.23%,-,
8252,丸井グループ,東証,貸借,○,×,○,"6,300",-,▼,"2,142.00",-5,-0.55%,-,"1,223","502,900",-3.38%,-,
7752,リコー,東証,貸借,○,×,×,"13,000",-,▲,996,1,0.91%,-,"1,214","1,530,900",-2.16%,-,3月29日
3962,チェンジ,東証,貸借,○,×,×,0,-,▲,"2,357.00",3,-0.79%,-,"1,212","329,800",-2.11%,-,3月29日
3289,東急不動産ＨＤ,東証,貸借,○,×,×,"32,300",-,▲,635,-1,0.00%,-,"1,209","2,321,200",-3.93%,-,3月29日
5406,神戸製鋼所,東証,貸借,○,×,○,"45,400",-,▲,682,-8,0.00%,-,"1,199","2,722,600",-3.12%,-,
4587,ペプチドリーム,東証,貸借,○,×,○,"19,100",-,▲,"1,998.00",5,-1.08%,-,"1,195","482,600",-1.52%,-,
9831,ヤマダホールディングス,東証,貸借,○,×,×,0,-,▲,462,-3,-0.64%,-,"1,193","3,250,300",-2.32%,-,3月29日
3835,ｅＢＡＳＥ,東証,貸借,○,×,×,"4,900",-,▲,680,31,3.18%,-,"1,187","488,300",-0.14%,-,3月29日
5214,日本電気硝子,東証,貸借,○,×,○,"32,100",-,▼,"2,368.00",-7,0.29%,-,"1,187","557,700",-1.94%,-,
